"BehaviorSpace results (NetLogo 5.3.1)"
"Model 12 Marketing Networking in Micro Firms version promotores 2_Estrategiav19.nlogo"
"Promoters vs WoM_sales"
"09/19/2016 14:09:12:815 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","0","0","0"
,"1","0","1","2","1","1","7","6","5","5","5","9","1","0","1","8","7","10","1","0","0","0","0","0","2","0","1","6","6","2"
,"0","0","1","2","0","1","0","0","1","9","7","5","2","2","1","11","11","7","0","0","0","1","0","0","0","0","1","1","0","1"
,"1","0","1","2","2","1","0","0","0","0","0","1","0","0","1","5","5","4","0","0","0","0","0","0","5","5","2","2","1","1"
,"1","0","1","0","0","0","0","0","0","1","1","1","2","1","1","1","0","0","0","0","0","0","0","0","1","1","2","1","0","1"
,"1","0","1","0","0","0","0","0","0","0","0","1","2","2","1","0","0","0","1","0","0","1","0","0","2","0","2","4","2","1"
,"0","0","1","0","0","0","0","0","0","0","0","1","3","1","1","1","0","0","6","6","1","0","0","0","1","1","2","1","0","1"
,"0","0","1","0","0","0","1","0","0","2","1","1","0","0","0","2","0","0","0","0","1","2","0","0","2","0","2","1","1","1"
,"1","1","1","6","6","1","0","0","0","0","0","1","0","0","0","1","0","0","3","2","1","1","0","0","1","0","2","1","0","1"
,"1","0","0","0","0","1","0","0","0","0","0","0","3","3","1","0","0","0","1","0","1","3","0","0","3","1","1","2","1","1"
,"0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","2","0","0","1","0","1","0","0","0","2","1","1","3","3","1"
,"1","0","0","1","0","1","0","0","0","1","0","0","1","0","1","14","14","1","1","1","1","0","0","0","3","0","1","0","0","1"
,"1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","10","9","3","0","0","1","0","0","0","3","0","0","2","2","1"
,"1","0","0","1","0","1","1","0","0","0","0","0","0","0","1","3","3","4","1","1","1","0","0","0","2","0","0","0","0","1"
,"0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","8","8","5","1","0","1","0","0","0","0","0","0","1","0","1"
,"0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","5","1","0","0","0","0","0","2","0","0","0","0","1"
,"0","0","0","2","1","1","1","0","0","0","0","0","2","0","1","1","1","5","0","0","0","0","0","0","1","0","0","1","0","1"
,"0","0","0","2","0","0","0","0","0","0","0","0","1","1","1","0","0","5","0","0","0","1","0","0","0","0","0","1","1","1"
,"0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","5","5","4","1","0","0","0","0","0","0","0","0","1"
,"1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","5","1","0","1","1","0","0","0","0","0","1","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","4","1","0","1","0","0","0","1","0","0","0","0","0"
